,RootMyc1,YawBrMyp,YawBrMzp
case_42_baseline_k_turbsim_outdata_42.mat,146320.11209124592,12846.947133853957,46008.47202915312
case_58_baseline_k_turbsim_outdata_58.mat,138241.5691756989,10841.935484367696,40066.90109000677
case_21_baseline_k_turbsim_outdata_21.mat,145178.77801285303,6038.757972021035,39050.316335874675
case_1_baseline_k_turbsim_outdata_1.mat,156619.93997383644,7833.728751183762,59948.775213947694
case_10_baseline_k_turbsim_outdata_10.mat,155185.55301434296,11968.41867560174,46321.33628848179
case_48_baseline_k_turbsim_outdata_48.mat,142867.0960174086,11257.648557140488,44388.961042234696
case_31_baseline_k_turbsim_outdata_31.mat,150640.0463060908,7937.062046955287,61702.91781197344
case_52_baseline_k_turbsim_outdata_52.mat,138998.66561703305,10965.26488450003,37351.01841349304
case_60_baseline_k_turbsim_outdata_60.mat,139119.77088560208,6343.238018599654,35568.2110238871
case_19_baseline_k_turbsim_outdata_19.mat,145242.35696848077,6068.50196249108,39263.02517840246
case_38_baseline_k_turbsim_outdata_38.mat,150945.66373847518,8084.656373140684,56066.73463965387
case_41_baseline_k_turbsim_outdata_41.mat,145411.916066716,6746.739493051877,45876.69520022587
case_22_baseline_k_turbsim_outdata_22.mat,140260.2891493112,5344.629863179408,34269.32614754034
case_33_baseline_k_turbsim_outdata_33.mat,151030.5679554925,8078.703529458707,59136.74682315514
case_5_baseline_k_turbsim_outdata_5.mat,159264.94293843463,8243.275733285425,52393.4031511004
case_12_baseline_k_turbsim_outdata_12.mat,149666.67763636913,12847.03083529807,43363.11098537761
case_29_baseline_k_turbsim_outdata_29.mat,138701.83627891738,4670.804237781457,29123.466483631022
case_50_baseline_k_turbsim_outdata_50.mat,144018.94691928613,11085.883354680183,41869.19047841406
case_43_baseline_k_turbsim_outdata_43.mat,150690.38058872306,11916.06811381677,45705.78209992531
case_59_baseline_k_turbsim_outdata_59.mat,138569.7002098649,5986.219381186582,41520.048967043
case_20_baseline_k_turbsim_outdata_20.mat,146627.82943121193,11124.208319630427,40425.781554673296
