,RootMyc1,YawBrMyp,YawBrMzp
case_351_optimal_k_cases_turbsim_ref_outdata_351.mat,143303.55819526422,16098.994607012686,85473.1404448206
case_38_optimal_k_cases_turbsim_ref_outdata_38.mat,156211.92867742715,12311.536107654534,48108.44395243562
case_324_optimal_k_cases_turbsim_ref_outdata_324.mat,164727.82192304498,35628.31892779762,207944.77651567516
case_63_optimal_k_cases_turbsim_ref_outdata_63.mat,163230.1117035125,29441.334362153128,168008.5776627623
case_82_optimal_k_cases_turbsim_ref_outdata_82.mat,139762.61830089043,5714.938847038919,34843.642611557305
case_190_optimal_k_cases_turbsim_ref_outdata_190.mat,151920.56252676802,7573.732703363062,57564.61076838496
case_336_optimal_k_cases_turbsim_ref_outdata_336.mat,158959.83451613408,28841.829612285906,161289.42385211404
case_343_optimal_k_cases_turbsim_ref_outdata_343.mat,140311.26751125773,5513.4902387934535,36561.555570332246
case_308_optimal_k_cases_turbsim_ref_outdata_308.mat,156209.4218977742,12312.502671627717,48241.92271820231
case_298_optimal_k_cases_turbsim_ref_outdata_298.mat,151115.06859426695,11840.635008722404,45603.68318344811
case_235_optimal_k_cases_turbsim_ref_outdata_235.mat,150952.329447152,11532.945091662576,41923.53776154983
case_240_optimal_k_cases_turbsim_ref_outdata_240.mat,183833.7517136096,31177.648901633613,201584.76081147685
case_176_optimal_k_cases_turbsim_ref_outdata_176.mat,139440.5897461015,5349.489557871712,34659.97769899965
case_420_optimal_k_cases_turbsim_ref_outdata_420.mat,183619.8362830568,31094.37330521169,200693.34408526862
case_103_optimal_k_cases_turbsim_ref_outdata_103.mat,157122.65509509586,11360.864923320629,51066.566976683665
case_18_optimal_k_cases_turbsim_ref_outdata_18.mat,201111.26329874946,41657.433495092264,279924.9213325104
case_148_optimal_k_cases_turbsim_ref_outdata_148.mat,144154.03215129426,11226.562475434244,35749.0474635377
case_16_optimal_k_cases_turbsim_ref_outdata_16.mat,154045.20075057374,6794.979590252415,51117.746050248395
case_295_optimal_k_cases_turbsim_ref_outdata_295.mat,152926.7429342473,7613.75731556555,49000.967904544
case_95_optimal_k_cases_turbsim_ref_outdata_95.mat,153562.83363420193,11795.780867161086,52109.046395280144
case_305_optimal_k_cases_turbsim_ref_outdata_305.mat,148711.7120826047,11208.117169334719,48362.04800918428
case_74_optimal_k_cases_turbsim_ref_outdata_74.mat,140318.31797840344,5511.921214881955,36492.77519196745
case_370_optimal_k_cases_turbsim_ref_outdata_370.mat,151919.92850394626,7572.614908104494,57584.516586347796
case_396_optimal_k_cases_turbsim_ref_outdata_396.mat,184749.91964227782,37199.21417911624,238247.78813701513
case_206_optimal_k_cases_turbsim_ref_outdata_206.mat,152927.0983971163,7613.75538815546,49022.526263707856
case_273_optimal_k_cases_turbsim_ref_outdata_273.mat,247411.48348080827,45991.31120372156,312241.0247083751
case_238_optimal_k_cases_turbsim_ref_outdata_238.mat,144153.41562883314,11226.844927264008,35752.72298446722
case_145_optimal_k_cases_turbsim_ref_outdata_145.mat,150953.46888053473,11532.60524774852,41909.49157933399
case_413_optimal_k_cases_turbsim_ref_outdata_413.mat,147124.65828376182,11544.434568116132,41397.57990935716
