,RootMyc1,YawBrMyp,YawBrMzp
case_240_optimal_k_cases_turbsim_wu_outdata_240.mat,183431.49475283446,30593.023485004993,200988.30454311552
case_450_optimal_k_cases_turbsim_wu_outdata_450.mat,153079.2043716265,24194.672702500568,102397.03811643948
case_393_optimal_k_cases_turbsim_wu_outdata_393.mat,215553.20620358232,49420.20982498759,225344.76492330336
case_78_optimal_k_cases_turbsim_wu_outdata_78.mat,136923.0821356428,6957.141162046372,42793.56023120646
case_124_optimal_k_cases_turbsim_wu_outdata_124.mat,148972.79801076942,11215.067671058196,48129.78467222915
case_146_optimal_k_cases_turbsim_wu_outdata_146.mat,151096.3008527827,11495.430916183559,41746.90885075184
case_16_optimal_k_cases_turbsim_wu_outdata_16.mat,154344.74745353442,6785.152348853334,51086.83400158391
case_384_optimal_k_cases_turbsim_wu_outdata_384.mat,230211.7295247889,58039.75994745248,252757.29712493607
case_447_optimal_k_cases_turbsim_wu_outdata_447.mat,155495.4411849823,24011.901544122396,100199.74589614355
case_257_optimal_k_cases_turbsim_wu_outdata_257.mat,139234.29164624002,4694.401601492942,32106.1431895309
case_365_optimal_k_cases_turbsim_wu_outdata_365.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_307_optimal_k_cases_turbsim_wu_outdata_307.mat,155214.9636537119,12375.842598831534,48192.49523431084
case_11_optimal_k_cases_turbsim_wu_outdata_11.mat,152601.98339004238,7650.871919999283,57104.057992086724
case_235_optimal_k_cases_turbsim_wu_outdata_235.mat,150951.0700734132,11533.294590241461,41942.25035871916
case_425_optimal_k_cases_turbsim_wu_outdata_425.mat,138077.89241884465,11068.495191018663,37091.69730276033
case_192_optimal_k_cases_turbsim_wu_outdata_192.mat,250800.0871180136,45782.45269752886,289259.2319366648
case_409_optimal_k_cases_turbsim_wu_outdata_409.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_219_optimal_k_cases_turbsim_wu_outdata_219.mat,186197.32687672917,40504.28855295385,242935.75970945435
case_41_optimal_k_cases_turbsim_wu_outdata_41.mat,147574.00942979596,6301.272739441242,48651.08674459413
case_173_optimal_k_cases_turbsim_wu_outdata_173.mat,139851.4267796704,5730.065148286455,34889.656398701685
case_111_optimal_k_cases_turbsim_wu_outdata_111.mat,148505.42798076366,12177.871660487608,62909.63583145435
case_349_optimal_k_cases_turbsim_wu_outdata_349.mat,139256.02504408077,4814.73153613884,28765.307878130996
case_1_optimal_k_cases_turbsim_wu_outdata_1.mat,162210.08132447005,10975.436157177504,54810.878119807945
case_410_optimal_k_cases_turbsim_wu_outdata_410.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_200_optimal_k_cases_turbsim_wu_outdata_200.mat,154885.7350324796,7158.318450472181,45601.6496429788
case_46_optimal_k_cases_turbsim_wu_outdata_46.mat,143186.55938438734,10850.519552889722,37946.259883692386
case_332_optimal_k_cases_turbsim_wu_outdata_332.mat,140541.78712533065,10919.263335439238,38233.92659671322
case_98_optimal_k_cases_turbsim_wu_outdata_98.mat,153880.63277140367,8387.742856797093,51004.563864965785
case_283_optimal_k_cases_turbsim_wu_outdata_283.mat,155134.73263957215,11437.743447361125,51672.63731770783
case_350_optimal_k_cases_turbsim_wu_outdata_350.mat,139256.02504408077,4814.73153613884,28765.307878130996
case_28_optimal_k_cases_turbsim_wu_outdata_28.mat,151780.45960276594,11844.777106915724,45434.80369484088
case_108_optimal_k_cases_turbsim_wu_outdata_108.mat,146694.15346727034,16173.742342869706,63647.893130162374
case_262_optimal_k_cases_turbsim_wu_outdata_262.mat,139752.2696697877,5717.084224033098,34871.79506443439
case_75_optimal_k_cases_turbsim_wu_outdata_75.mat,137537.4906289273,6436.961815484513,44936.93488467606
case_106_optimal_k_cases_turbsim_wu_outdata_106.mat,154267.30504663987,6772.203924974448,51147.2264770004
case_164_optimal_k_cases_turbsim_wu_outdata_164.mat,140412.39079468962,5499.044253417222,36480.99910629605
case_185_optimal_k_cases_turbsim_wu_outdata_185.mat,153553.58816311054,11796.66063683416,52150.51373084276
case_72_optimal_k_cases_turbsim_wu_outdata_72.mat,138514.89241462617,6701.395212885354,42992.08162429792
case_275_optimal_k_cases_turbsim_wu_outdata_275.mat,152140.71979527778,11851.603174107395,53128.875762962445
case_347_optimal_k_cases_turbsim_wu_outdata_347.mat,138591.96891815515,4592.600761929524,33363.12819520117
case_294_optimal_k_cases_turbsim_wu_outdata_294.mat,229032.31013587964,52992.42383635074,262178.7179386824
case_325_optimal_k_cases_turbsim_wu_outdata_325.mat,150228.7255860889,11658.435428143957,42898.99902620252
case_217_optimal_k_cases_turbsim_wu_outdata_217.mat,156209.09938811124,12312.604755229735,48214.248875658115
case_407_optimal_k_cases_turbsim_wu_outdata_407.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_126_optimal_k_cases_turbsim_wu_outdata_126.mat,142586.19293678034,14657.622416606582,65838.59789604243
case_29_optimal_k_cases_turbsim_wu_outdata_29.mat,151780.45960276594,11844.777106915724,45434.80369484088
case_99_optimal_k_cases_turbsim_wu_outdata_99.mat,148115.00794192677,11670.022193649065,64980.999474798075
case_47_optimal_k_cases_turbsim_wu_outdata_47.mat,143186.55938438734,10850.519552889722,37946.259883692386
case_144_optimal_k_cases_turbsim_wu_outdata_144.mat,141222.8411474265,17167.779622300666,65126.5820447792
case_367_optimal_k_cases_turbsim_wu_outdata_367.mat,147864.9354918174,8471.237351603384,53581.73744334883
case_386_optimal_k_cases_turbsim_wu_outdata_386.mat,148250.38606626843,12369.070277170558,51452.15505431034
case_255_optimal_k_cases_turbsim_wu_outdata_255.mat,162161.06322494007,28365.925194629097,156058.23420383187
case_445_optimal_k_cases_turbsim_wu_outdata_445.mat,137696.69290609282,11855.724638077767,35364.917336199884
