 Case_ID  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn     Fst        Fst        Fst        Fst       Fst       Fst          Fst         Fst       Fst     Fst    Fst   InflowWind  InflowWind  ServoDyn  ServoDyn                             ServoDyn                             ServoDyn    ServoDyn  ServoDyn  ServoDyn  ServoDyn 
           DrTrDOF    EdgeDOF    FlapDOF1   FlapDOF2    GenDOF   PtfmHvDOF   PtfmPDOF   PtfmRDOF  PtfmSgDOF  PtfmSwDOF   PtfmYDOF   TeetDOF    TwFADOF1   TwFADOF2   TwSSDOF1   TwSSDOF2    YawDOF   CalcSteady  CompAero  CompElast  CompHydro  CompIce  CompInflow  CompMooring  CompServo  CompSub    DT    TMax  HWindSpeed   WindType   AfCMode    CCMode                            DLL_FileName                          DLL_InFile  HSSBrMode   PCMode   VSContrl   YCMode  
    32      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      16.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    33      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      17.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    34      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      17.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    35      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      18.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    36      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      18.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    37      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      19.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    38      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      19.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    39      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      20.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    40      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      20.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    41      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      21.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    42      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      21.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    43      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      22.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    44      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      22.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    45      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      23.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    46      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      23.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    47      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      24.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
